"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"validate that all details displayed correctly after clicking on onesie header on home page","941","HM_TC_24","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_24"
"Verify that performance_glitch_user can login successfully (may be slow)","5724","LG_TC_11","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_11"
"validate that all details displayed correctly after clicking on bolt t-shirt header on home page","963","HM_TC_20","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_20"
"Verify products are sorted A-Z when selecting first dropdown option","1142","HM_TC_30","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_30"
"Validate ability to continue after filling all required information ","2377","CO_TC_05","Surefire suite","2025-11-24","passed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_05"
"validating that facebook icon will direct me the rightlink   ","2817","CO_TC_08","Surefire suite","2025-11-24","failed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_08"
"validating the functionality of cancel button  ","2458","OV_TC_03","Surefire suite","2025-11-24","passed","2025-11-24","tests.OverViewTest","Surefire test","tests.OverViewTest","OV_TC_03"
"verify that user can add backbag to the cart","895","HM_TC_01","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_01"
"validating the total amount of two items(back bag , bike light ) is correct  ","2361","OV_TC_04","Surefire suite","2025-11-24","passed","2025-11-24","tests.OverViewTest","Surefire test","tests.OverViewTest","OV_TC_04"
"Verify that clicking Continue Shopping returns user to Home Page","1615","CP_TC_04","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_04"
"Verify that Backpack details in Cart are the same as displayed on Home Page","1250","CP_TC_05","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_05"
"validating that all details of complete page appears  ","2556","C_TC_01","Surefire suite","2025-11-24","passed","2025-11-24","tests.CompleteTest","Surefire test","tests.CompleteTest","C_TC_01"
"validate that all details displayed correctly after clicking on bolt t-shirt image on home page","1233","HM_TC_19","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_19"
"validating that all details for the two  item (BackBag,bike light ) are correct","2557","OV_TC_01","Surefire suite","2025-11-24","passed","2025-11-24","tests.OverViewTest","Surefire test","tests.OverViewTest","OV_TC_01"
"validate that all details displayed correctly after clicking on fleece jacket header on home page","1032","HM_TC_22","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_22"
"verify that user cannot redirect to home page with invalid password","1125","LG_TC_03","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_03"
"Verify cart badge updates correctly when adding products","1109","CP_TC_06","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_06"
"validating that zip code textbox will not accept letters   ","2197","CO_TC_014","Surefire suite","2025-11-24","failed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_014"
"verify that user can remove fleece jacket from the cart","1024","HM_TC_11","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_11"
"verify that user can remove bolt t-shirt from the cart","1007","HM_TC_10","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_10"
"verify that user can add all products to the cart","1830","HM_TC_07","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_07"
"verify that user redirected to home page after valid credintials","668","LG_TC_01","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_01"
"Verify that clicking Continue Shopping returns user to Home Page","1298","CP_TC_03","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_03"
"verify that user can remove all products from the cart","3328","HM_TC_14","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_14"
"validate that all details displayed correctly after clicking on red t-shirt image on home page","1477","HM_TC_25","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_25"
"validate that all details displayed correctly after clicking on onesie image on home page","1294","HM_TC_23","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_23"
"verify that user can remove bike light from the cart","1014","HM_TC_09","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_09"
"validate that all details displayed correctly after clicking on fleece jacket image on home page","1022","HM_TC_21","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_21"
"verify that user can add fidget spinner to the cart","862","HM_TC_04","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_04"
"Verify cart badge updates correctly when removing products","3551","CP_TC_08","Surefire suite","2025-11-24","passed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_08"
"Verify that locked out user cannot login","1148","LG_TC_09","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_09"
"Verify that problem_user can login successfully","1029","LG_TC_10","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_10"
"validating the functionality of finish button  ","2559","OV_TC_02","Surefire suite","2025-11-24","passed","2025-11-24","tests.OverViewTest","Surefire test","tests.OverViewTest","OV_TC_02"
"validate that all details displayed correctly after clicking on bike light header on home page","991","HM_TC_18","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_18"
"validate that hamburger button works properly","1402","HM_TC_27","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_27"
"validating that first name textbox will not accept 1 letter  ","2077","CO_TC_011","Surefire suite","2025-11-24","failed","2025-11-24","tests.checkOutTest","Surefire test","tests.checkOutTest","CO_TC_011"
"verify that user can remove backbag from the cart","1204","HM_TC_08","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_08"
"verify that user cannot checkout when cart is empty","2709","CP_TC_01","Surefire suite","2025-11-24","failed","2025-11-24","tests.CartPageTest","Surefire test","tests.CartPageTest","CP_TC_01"
"verify that user can add bike light to the cart","827","HM_TC_02","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_02"
"Verify that user cannot log in with spaces in password","1079","LG_TC_05","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_05"
"Verify that error_user can login successfully","704","LG_TC_12","Surefire suite","2025-11-24","passed","2025-11-24","tests.LoginTest","Surefire test","tests.LoginTest","LG_TC_12"
"validate that all details displayed correctly after clicking on bike light image on home page","1369","HM_TC_17","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_17"
"validating the total tax of two items(back bag , bike light ) is correct (8%) ","2504","OV_TC_05","Surefire suite","2025-11-24","passed","2025-11-24","tests.OverViewTest","Surefire test","tests.OverViewTest","OV_TC_05"
"verify that user can add red t-shirt to the cart","865","HM_TC_06","Surefire suite","2025-11-24","passed","2025-11-24","tests.HomePageTest","Surefire test","tests.HomePageTest","HM_TC_06"
